season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g,mp,orb_pct,per,stl_pct,tov_pct,trb_pct,ts_pct
2022,Josh Okogie,SG,23,MIN,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2021,Jared Dudley,PF,35,LAL,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,0,
2021,Josh Green,SG,20,DAL,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
2021,Anthony Tolliver,PF,35,PHI,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-7.3,0,,0,
2020,Deonte Burton,SF,26,OKC,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2020,Joakim Noah,C,34,LAC,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2018,Dakari Johnson,C,22,OKC,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
2018,Jerryd Bayless,SG,29,PHI,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2018,Jason Smith,C,31,WAS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2018,Joe Young,PG,25,IND,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-5.8,0,,0,
2018,T.J. Leaf,PF,20,IND,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
2016,Tyler Hansbrough,PF,30,CHO,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0,
2015,Bernard James,C,29,DAL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2015,Greg Smith,PF,24,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2014,Solomon Hill,SF,22,IND,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2014,Hasheem Thabeet,C,26,OKC,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-9.8,0,,0,
2013,Mirza Teletović,PF,27,BRK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2013,Dwayne Jones,PF,29,GSW,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2012,Jimmy Butler,SG,22,CHI,3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-4.9,0,,0,
2010,Brian Scalabrine,PF,31,BOS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
